step,crossentropy,val crossentropy,res loss,val res loss,adv loss,val adv loss,resnet_top k micro,val resnet_top k micro,resnet_top k macro,val resnet_top k macro,resnet_acc micro,val resnet_acc micro,resnet_acc macro,val resnet_acc macro,resnet_precission macro,val resnet_precission macro,resnet_recall macro,val resnet_recall macro,resnet_f1-score macro,val resnet_f1-score macro,adv_top k micro,val adv_top k micro,adv_top k macro,val adv_top k macro,adv_acc micro,val adv_acc micro,adv_acc macro,val adv_acc macro,adv_precission macro,val adv_precission macro,adv_recall macro,val adv_recall macro,adv_f1-score macro,val adv_f1-score macro
1,4.0342300571323015,2.590845901232499,1.1208511705033517,0.5553160263941839,3.013585196727771,2.1553145280251136,0.8578263776082742,0.9780219655770522,0.6746377722854819,0.7751104625371786,0.6281613162473628,0.7912087898987991,0.5613739672139215,0.7596944043269525,0.553345428365305,0.7499769169550675,0.5613739672139215,0.7596944043269525,0.5282078576697544,0.7307288967646085,0.6069719821357271,0.6510989035551364,0.6149379186082685,0.659085736824916,0.28298018608937425,0.29945055681925553,0.2482738436765648,0.24943438917398453,0.07501180871037776,0.07495198054955556,0.2482738436765648,0.24943438917398453,0.11131785697700304,0.11416374003657928
2,2.288731847938738,1.9757306575775146,0.5006310598987141,0.39106467022345615,2.2055589451173847,1.9943304520386915,0.9737981192803269,0.9826007210291349,0.7627564514652964,0.7586206128964057,0.8228525813116411,0.8663003605145675,0.775250225831447,0.8346232726023748,0.7780743443794798,0.8323516708153945,0.775250225831447,0.8346232726023748,0.7579690387659666,0.8179479172596564,0.6500341812389319,0.6858974420107328,0.6648862441761072,0.6946585270074698,0.262474375549686,0.25915751720850283,0.23082228518273842,0.2153597646034681,0.07479410835109544,0.06935789020588765,0.23082228518273842,0.2153597646034681,0.10564084053396038,0.10395020962907718
3,2.0060966816245083,1.764072101849776,0.39490706676786597,0.3404164904585251,1.9843377901606583,1.9199489951133728,0.9815447601405057,0.9789377175844632,0.7701509024537921,0.7515353996020097,0.8601048012669577,0.8827838783080761,0.8182557698642238,0.8320583632359138,0.816256328632957,0.8332522419782785,0.8182557698642238,0.8320583632359138,0.80128591625314,0.8186838420537802,0.6691729376475777,0.6923076946001786,0.6825710121524391,0.6904203731280106,0.1909318799286653,0.2023809592311199,0.17031116468127835,0.16950398339675024,0.08651180081425956,0.09912396967411041,0.17031116468127835,0.16950398339675024,0.0959963866701109,0.10168795975355002
4,1.94127088328868,1.5401438107857337,0.36176207732926147,0.278829491768892,1.8750760954532897,1.8108853789476247,0.9833674989818957,0.9890109827885261,0.7789191138801392,0.763944304906405,0.8713829965112312,0.9010988909464616,0.8334738743362244,0.8739053515287546,0.8367522903606652,0.8703342103041135,0.8334738743362244,0.8739053515287546,0.8192203295858282,0.85851045525991,0.6643882493653366,0.6666666681949909,0.6762218712049238,0.6526288344309881,0.16974254247496287,0.1620879154652357,0.15472353709656655,0.14087204864391914,0.1078574312850833,0.10175198775071365,0.15472353709656655,0.14087204864391914,0.0976710039944027,0.09529804803717595
5,1.8626829740818607,1.518789256994541,0.34511696205042197,0.2734180528383989,1.857589815221905,1.7956514587769141,0.9838231844765147,0.9908424799258893,0.789617160575812,0.7812723540342771,0.8782182663821718,0.9010988955314343,0.8347856028798665,0.8515137273531693,0.8393020940739573,0.8440761199364295,0.8347856028798665,0.8515137273531693,0.8224369418678101,0.8373146446851584,0.6599453225660552,0.67582417680667,0.6678416597786132,0.6815339899980105,0.15698337121799802,0.1474359011134276,0.14371368779163612,0.13087101452625716,0.1261726048414074,0.11192667863976496,0.14371368779163612,0.13087101452625716,0.10067518657010993,0.09174353915911454
6,1.7743201689286665,1.3315641261064088,0.3166015527821614,0.2345792421927819,1.7884578830317448,1.7627857327461243,0.9889496393751299,0.9926739839407114,0.7908970978841827,0.8138346970081329,0.8836864794840653,0.9111721515655518,0.8436019115470813,0.8738141082800351,0.8423641535083642,0.8786764236596915,0.8436019115470813,0.8738141082800351,0.8289207314190111,0.8662133698280041,0.6548188700915524,0.6437728955195501,0.6682421389664189,0.6537601420512567,0.12531328625513605,0.11538461796366252,0.12364984676241875,0.1102006289248283,0.15130669212316356,0.13453245134307787,0.12364984676241875,0.1102006289248283,0.10071156287129131,0.0941574232509503
7,1.6505805216907885,1.4821929312669313,0.2781457068247088,0.24740226136950347,1.6920222237920077,1.6705055557764494,0.9883800331485328,0.9935897405330951,0.7844080368867902,0.7937510632551633,0.8970152576003919,0.9175824110324566,0.8621339010850094,0.8848256583397205,0.8639730286370054,0.88121520785185,0.8621339010850094,0.8848256583397205,0.8509599671979841,0.8739427763682145,0.6466165465886513,0.6190476291454755,0.6534133339612678,0.6306599642221744,0.14684438741984265,0.112637365093598,0.14502372946501063,0.10934265058201093,0.17552966894091745,0.15277122219021505,0.14502372946501063,0.10934265058201093,0.13702869078402885,0.11515997894681416
8,1.7206478522439892,1.5823907829247987,0.28725359325061006,0.2573266476392746,1.6748432268936668,1.6300764679908752,0.9898610077976611,0.9945054879555335,0.799875240291705,0.7793443753169134,0.8934837009347797,0.902014645246359,0.8567330118571742,0.8732036971128904,0.8566556946512615,0.8774724167126876,0.8567330118571742,0.8732036971128904,0.8434525751040883,0.8634464694903448,0.6524265273050829,0.6410256486672622,0.6576327092624737,0.6596442438088931,0.15197084015279866,0.11446886688757402,0.15067922821241703,0.11883975393497027,0.1729333834972179,0.1926778509783057,0.15067922821241703,0.11883975393497027,0.14375914268766007,0.1162085196433159
9,1.716899419372732,1.406159369991376,0.2852746233985755,0.24053500707332903,1.6688167661000668,1.7079364840800946,0.9907723770757612,0.9954212422554309,0.7950926152142611,0.7684120490000799,0.8930280151549709,0.9148351573027097,0.8619355981429798,0.8746076203309573,0.8616583207577609,0.8787496915230384,0.8619355981429798,0.8746076203309573,0.8481639751977328,0.8657220189387982,0.6436545961496363,0.6208791239903524,0.6474911148468273,0.6117382118335137,0.1394395111529736,0.12362637700369725,0.13823353412725994,0.12304234948868935,0.1659972364100757,0.165476897588143,0.13823353412725994,0.12304234948868935,0.13099178403580303,0.11660455296245906
10,1.6227223767618244,1.3673807508670366,0.2707751221669633,0.2186623075260566,1.674893159615366,1.5943889893018282,0.9888357160764448,0.9954212399629446,0.7928115203620144,0.7659397652515998,0.9028252351797369,0.9194139058773334,0.8697693233855033,0.8829532632460961,0.8725826603373842,0.8796921555812542,0.8697693233855033,0.8829532632460961,0.8580340109943774,0.8739454929645245,0.6403508825165233,0.6108058668099917,0.6434452210031628,0.5976900332249128,0.14354067380455407,0.149267402692483,0.14623031539744452,0.1418486309166138,0.17047659855817207,0.14379455206485894,0.14623031539744452,0.1418486309166138,0.13599636898549836,0.13492553394574386
11,1.6610070650942588,1.5657921370405417,0.2707762742976538,0.260585109058481,1.634452428543967,1.647495618233314,0.9904306143094478,0.9926739862331977,0.798608472472743,0.814647511794017,0.900774654874391,0.9120879081579355,0.8656258326398129,0.8726193744402665,0.869011831625797,0.8692257885749524,0.8656258326398129,0.8726193744402665,0.8556488475731115,0.8619049718746772,0.6468443880526072,0.6108058713949643,0.6291290601474817,0.5841995959098523,0.17509683696597672,0.19322344832695448,0.16303951993727228,0.1720081026164385,0.16294893750733735,0.16485355192652115,0.16303951993727228,0.1720081026164385,0.15181843626299543,0.16010804617634186
12,1.5735901179210992,1.4576803159255247,0.25129871788706504,0.2350658751451052,1.6016440910585759,1.6079314213532667,0.9906584554882141,0.9945054902480199,0.7975401450572401,0.8168675670256982,0.908521294593811,0.9148351573027097,0.8810423264663185,0.9008919825920692,0.8834839209415125,0.891614155127452,0.8810423264663185,0.9008919825920692,0.8704974611410113,0.8860469437562503,0.6627933517027129,0.6355311400615252,0.6509042266738472,0.6184379813762811,0.18580542716897275,0.17216117622760627,0.17725638034597538,0.15975901971642786,0.18748296897091934,0.19157641409681395,0.17725638034597538,0.15975901971642786,0.1659761024327084,0.1528905936731742
13,1.5476997511808952,1.3106080648990779,0.24424790845889793,0.20690471535691848,1.5768035279506702,1.5925527215003967,0.9920255122572611,0.9954212422554309,0.8031281058868153,0.8043142602993891,0.9142173531523161,0.9166666590250455,0.8869411965306295,0.8962181348067063,0.8894163013645336,0.8897819977540237,0.8869411965306295,0.8962181348067063,0.8770324687638351,0.8830099105834961,0.6754385990104036,0.6419413983821869,0.6682362753238404,0.6500248404649588,0.1921850131049253,0.17490843024391395,0.18819564170957181,0.17208222958904046,0.19512797037415813,0.17323684219557506,0.18819564170957181,0.17208222958904046,0.1740344057492377,0.15144307581851116
14,1.5303664626687337,1.5863547577307775,0.2387064869680473,0.24409642786933824,1.5590995327707684,1.5324320701452403,0.9929368823909304,0.9908424822183756,0.7946666054178083,0.8091111641663772,0.9106857950607555,0.9230769184919504,0.8808443303883932,0.9101866735861852,0.8811089339438808,0.906914981511923,0.8808443303883932,0.9101866735861852,0.8704376696969904,0.8991923469763535,0.6878560054245177,0.6584249115907229,0.6891787602570638,0.6481131796653454,0.21371611396661785,0.20879121439961287,0.216924281211561,0.21287681362949884,0.20378434934328046,0.2123996108197249,0.216924281211561,0.21287681362949884,0.1893975746831255,0.19412819554026312
15,1.5160776629117116,1.6111708547060306,0.23153205130374033,0.23713511858995145,1.5296722336819297,1.474682968396407,0.994076093418176,0.9954212399629446,0.8001177547651045,0.8151913789602426,0.9162679337428518,0.913003648702915,0.8861059811697052,0.865970641374588,0.8877886770444624,0.8591133539493268,0.8861059811697052,0.865970641374588,0.8768568172979583,0.8519280621638665,0.6971975425213718,0.6987179586520562,0.6877008057667308,0.6872744560241699,0.2275005749573833,0.23443224195104378,0.21777511591261084,0.23165868709866816,0.20944938341681466,0.2180008037159076,0.21777511591261084,0.23165868709866816,0.19562649955019426,0.20638344064354897
16,1.511097355607594,1.1790100393386989,0.23514896438737806,0.17619377138236395,1.5543750142366692,1.492279772575085,0.9931647232845069,0.9981684959851779,0.7915201965701637,0.8271664243478042,0.9144451949014618,0.9313186705112457,0.8793540796594757,0.8903137491299555,0.8820106278766285,0.887017928636991,0.8793540796594757,0.8903137491299555,0.8697430662561262,0.8814232853742746,0.705172022563989,0.6932234534850488,0.6920638326822856,0.6675576315476344,0.2058555531943814,0.23992674654492965,0.19719866454672585,0.22319873193135628,0.20738049695473254,0.20341246345868477,0.19719866454672585,0.22319873193135628,0.1819561515627295,0.2023559301518477
17,1.5521838991550738,1.46731575521139,0.2352880400618868,0.22183379674187073,1.5180288039896477,1.5123222699532142,0.993278645727623,0.9954212399629446,0.8095943810837121,0.8198062983842996,0.9143312750250528,0.923076909322005,0.8853824152900842,0.8866898188224206,0.8879212831196032,0.8857160783731021,0.8853824152900842,0.8866898188224206,0.8755454324078902,0.8769079125844516,0.7157666911348772,0.6684981745022994,0.6999909501326712,0.646331236912654,0.24071543159310899,0.23626374310025802,0.22562248101146026,0.22161158145620272,0.22167289387167355,0.22202484882794893,0.22562248101146026,0.22161158145620272,0.20895998969531515,0.2152744414141545
18,1.5183031402849125,1.153768203006341,0.22949670779220224,0.1742110471599377,1.5158250611364557,1.5102409903819745,0.9917976687969774,0.9963369942628421,0.8184057508359115,0.7662982528026288,0.9145591162038191,0.9249084133368272,0.8854176422055258,0.8746810188660255,0.8849437596124895,0.8731688650754782,0.8854176422055258,0.8746810188660255,0.874214898171037,0.8652111842082097,0.7095010282035079,0.6822344385660611,0.7057651836050755,0.6980900695690742,0.23684211200076427,0.2490842560162911,0.22918368216479224,0.24177447591836637,0.2314669931013333,0.2110683164344384,0.22918368216479224,0.24177447591836637,0.2127558701631555,0.18874522384542686
19,1.4882838917120793,1.4704574782114763,0.22274584963062163,0.216516567250857,1.4976529949589779,1.4747850207182078,0.9922533531508377,0.9926739885256841,0.7978908950061889,0.8082024042422955,0.9180906705879138,0.9203296647622035,0.8883938261766753,0.8977397955380954,0.8889524038328508,0.8957309356102576,0.8883938261766753,0.8977397955380954,0.8774753674936067,0.8880414229172927,0.7164502189490214,0.6904761882928702,0.7050516511264601,0.6604636907577515,0.24903167705786855,0.25091575716550535,0.23301542227704558,0.2257088812497946,0.2237993148489717,0.1729844003342665,0.23301542227704558,0.2257088812497946,0.21095343149806323,0.1791451794023697
20,1.4286414851127058,1.2253524901775212,0.210146497400326,0.17714955772344881,1.4740998625184931,1.4520420248691852,0.9939621721158187,0.9945054879555335,0.8000195194659621,0.7909511488217574,0.9236728069884925,0.9331501722335815,0.9033096412722574,0.9000480450116671,0.9016501666826494,0.89781421652207,0.9033096412722574,0.9000480450116671,0.892298264366588,0.891765452348269,0.7316017336252203,0.7243589735948123,0.7182327420517588,0.7214163083296555,0.2592845825059562,0.23351648908395034,0.24271918904553189,0.23056879868874183,0.23567011802675622,0.259460765008743,0.24271918904553189,0.23056879868874183,0.22436119459177317,0.23018633717527756
